"name","group","element","units","context","S352126","S352127","S352128","S352129","S352130","S352131","S352132","S352133","S352134","S352135","S352136","S352137","S352138","S352139","S352140","S352141","S352142","S352143","S352144","S352145","S352146","S352147","S352148","S352149","S352150","S352151","S352152","S352153","S352154","S352155","S352156","S352157","S352158","S352159","S352160","S352161","S352162","S352163","S352164","S352165","S352166","S352167","S352168","S352169","S352170","S352171","S352172","S352173","S352174","S352175","S352176","S352177","S352178","S352179","S352180","S352181","S352182","S352183","S352184","S352185","S352186","S352187","S352188","S352189","S352190","S352191","S352192","S352193"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,0,5,13,21,29,37,45,53,61,69,77,85,93,101,109,125,141,157,173,189,205,213,221,226,231,234,237,241,245,249,253,261,269,277,285,295,301,309,317,325,333,340,349,357,371,387,403,419,435,451,467,483,499,515,531,547,563,579,595,619,627,639,643,647,651,656,659,667
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,352126,352127,352128,352129,352130,352131,352132,352133,352134,352135,352136,352137,352138,352139,352140,352141,352142,352143,352144,352145,352146,352147,352148,352149,352150,352151,352152,352153,352154,352155,352156,352157,352158,352159,352160,352161,352162,352163,352164,352165,352166,352167,352168,352169,352170,352171,352172,352173,352174,352175,352176,352177,352178,352179,352180,352181,352182,352183,352184,352185,352186,352187,352188,352189,352190,352191,352192,352193
EPD,Radiocarbon years BP,,,,--/0/--,--/813/--,--/1368/--,--/1776/--,--/2118/--,--/2418/--,--/2691/--,--/2941/--,--/3176/--,--/3396/--,--/3605/--,--/3805/--,--/3996/--,--/4180/--,--/4357/--,--/4695/--,--/5013/--,--/5315/--,--/5604/--,--/5881/--,--/6147/--,--/6276/--,--/6404/--,--/6482/--,--/6560/--,--/6606/--,--/6652/--,--/6713/--,--/6774/--,--/6834/--,--/6893/--,--/7011/--,--/7128/--,--/7242/--,--/7356/--,--/7495/--,--/7578/--,--/7687/--,--/7795/--,--/7901/--,--/8007/--,--/8098/--,--/8214/--,--/8316/--,--/8492/--,--/8690/--,--/8884/--,--/9074/--,--/9261/--,--/9445/--,--/9627/--,--/9805/--,--/9981/--,--/10154/--,--/10324/--,--/10493/--,--/10659/--,--/10823/--,--/10985/--,--/11224/--,--/11303/--,--/11420/--,--/11459/--,--/11498/--,--/11537/--,--/11585/--,--/11614/--,--/11690/--
Giesecke et al. 2014 (MADCAP),Calibrated radiocarbon years BP,,,,293/83/-36,525/314/182,895/684/509,1274/1053/828,1664/1421/1145,2033/1787/1457,2418/2152/1772,2810/2514/2091,3201/2874/2401,3590/3230/2707,3968/3584/3008,4337/3933/3304,4697/4278/3596,5049/4617/3884,5394/4949/4166,6062/5589/4710,6684/6189/5230,7244/6740/5720,7746/7235/6176,8177/7663/6593,8527/8017/6976,8676/8165/7155,8813/8295/7309,8890/8367/7402,8960/8433/7490,8999/8470/7542,9035/8505/7591,9081/8549/7654,9125/8589/7710,9165/8627/7763,9202/8661/7812,9267/8722/7899,9326/8773/7981,9381/8816/8057,9438/8853/8129,9506/8891/8208,9542/8912/8248,9616/8937/8292,9661/8961/8328,9647/8985/8366,9689/9011/8411,9733/9035/8456,9794/9072/8512,9850/9111/8563,9952/9192/8656,10077/9305/8777,10303/9437/8913,10353/9586/9060,10502/9751/9220,10657/9928/9392,10818/10116/9579,10986/10314/9775,11161/10518/9979,11342/10728/10199,11509/10940/10403,11684/11153/10610,11873/11365/10835,12072/11573/11068,12257/11776/11255,12585/12066/11501,12702/12159/11566,12890/12295/11661,12952/12339/11688,13015/12383/11713,13076/12427/11735,13153/12481/11762,13201/12513/11780,13335/12599/11831
Fossilva,Radiocarbon years BP,,,,--/253/--,--/1195/--,--/1771/--,--/2182/--,--/2520/--,--/2814/--,--/3077/--,--/3318/--,--/3541/--,--/3750/--,--/3947/--,--/4135/--,--/4313/--,--/4484/--,--/4649/--,--/4960/--,--/5252/--,--/5528/--,--/5791/--,--/6041/--,--/6281/--,--/6397/--,--/6512/--,--/6582/--,--/6652/--,--/6693/--,--/6734/--,--/6789/--,--/6843/--,--/6896/--,--/6950/--,--/7055/--,--/7158/--,--/7260/--,--/7360/--,--/7484/--,--/7557/--,--/7654/--,--/7749/--,--/7843/--,--/7936/--,--/8016/--,--/8118/--,--/8208/--,--/8362/--,--/8535/--,--/8705/--,--/8871/--,--/9034/--,--/9194/--,--/9351/--,--/9506/--,--/9658/--,--/9807/--,--/9954/--,--/10100/--,--/10243/--,--/10383/--,--/10522/--,--/10728/--,--/10795/--,--/10895/--,--/10929/--,--/10962/--,--/10995/--,--/11036/--,--/11061/--,--/11126/--
Abies,TRSH,pollen,NISP,,3,1,,,,,1,,,,1,,,,,,3,,1,,,,,,,,,,,,,1,,,1,1,1,2,1,,1,1,,1,1,3,,2,,2,1,1,,2,2,,1,4,,,2,,4,,,,,1
Acer,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,1,,
Alnus,TRSH,pollen,NISP,,12,4,8,14,10,17,4,14,27,22,26,23,11,9,10,17,8,7,16,6,12,5,8,6,4,11,15,9,13,11,9,8,21,20,6,22,20,17,14,30,16,15,3,9,17,65,13,16,30,19,23,18,16,17,5,21,22,28,15,6,7,6,11,9,3,9,4,2
