Column1;Column2;Column3;Column4;Column5;Column16;Column24;Column34;Column37;Column39;Column41;Column42;Column48;Column54;Column60;Column71
name;group;element;units;context;S352136;S352144;S352154;S352157;S352159;S352161;S352162;S352168;S352174;S352180;S352191
AnalysisUnitName;;;;;;;;;;;;;;;
Depth;;;;;77;173;245;261;277;295;301;349;435;531;656
Thickness;;;;;;;;;;;;;;;
Sample Name;;;;;;;;;;;;;;;
Sample ID;;;;;352136;352144;352154;352157;352159;352161;352162;352168;352174;352180;352191
EPD;Radiocarbon years BP;;;;--/3605/--;--/5604/--;--/6774/--;--/7011/--;--/7242/--;--/7495/--;--/7578/--;--/8214/--;--/9261/--;--/10324/--;--/11585/--
Giesecke et al. 2014 (MADCAP);Calibrated radiocarbon years BP;;;;3968/3584/3008;7746/7235/6176;9125/8589/7710;9267/8722/7899;9381/8816/8057;9506/8891/8208;9542/8912/8248;9794/9072/8512;10502/9751/9220;11509/10940/10403;13153/12481/11762
Fossilva;Radiocarbon years BP;;;;--/3947/--;--/5791/--;--/6843/--;--/7055/--;--/7260/--;--/7484/--;--/7557/--;--/8118/--;--/9034/--;--/9954/--;--/11036/--
Abies;TRSH;pollen;NISP;;1;1;;1;;1;1;;;2;
Acer;TRSH;pollen;NISP;;;;;;;1;;;;;1
Alnus;TRSH;pollen;NISP;;26;16;13;8;20;22;20;3;30;5;9
Amaranthaceae;UPHE;pollen;NISP;;1;1;3;1;4;2;;4;4;1;45
Anthemis-type;UPHE;pollen;NISP;;1;;;1;2;5;;1;1;;1
Apiaceae;UPHE;pollen;NISP;;1;;;;;1;2;7;1;1;2
Artemisia;UPHE;pollen;NISP;;1;;1;3;2;2;2;2;;3;16
Assulina muscorum;TEAM;test;NISP;;4;6;2;;3;3;3;3;7;5;1
Asteroideae;UPHE;pollen;NISP;;1;;;;;;;;;;
Betula;TRSH;pollen;NISP;;;2;;2;;2;;;;1;8
Bidens-type;UPHE;pollen;NISP;;2;1;1;;1;;;3;3;1;
Campanula;UPHE;pollen;NISP;;;;;;;;;;;;
Cannabis;UPHE;pollen;NISP;;;;;;;;;;;;
Carpinus;TRSH;pollen;NISP;;4;15;1;4;3;6;9;5;8;4;
Caryophyllaceae;UPHE;pollen;NISP;;2;1;1;;;1;;8;1;1;
Castanea;TRSH;pollen;NISP;;1;7;1;;;2;;;;;
Cichorioideae;UPHE;pollen;NISP;;5;1;;1;;3;1;13;;;3
Cornus;TRSH;pollen;NISP;;;;;;;;;;;;
Corylus;TRSH;pollen;NISP;;10;10;1;7;3;4;23;8;7;12;32
Cyperaceae;UPHE;pollen;NISP;;11;4;4;12;3;13;5;33;6;13;6
Cystopteris-type;VACR;spore;NISP;;2;;;;;;;;;;
