"name","group","element","units","context","S233206","S233207","S233208","S233209","S233210","S233211","S233212","S233213","S233214","S233215","S233216","S233217","S233218","S233219","S233220","S233221","S233222","S233223","S233224","S233225","S233226","S233227","S233228","S233229","S233230","S233231","S233232","S233233","S233234","S233235","S233236","S233237","S233238","S233239","S233240","S233241","S233242","S233243","S233244","S233245","S233246","S233247","S233248","S233249","S233250","S233251","S233252","S233253","S233254","S233255","S233256","S233257","S233258","S233259","S233260","S233261","S233262","S233263","S233264","S233265","S233266","S233267","S233268","S233269","S233270","S233271","S233272","S233273","S233274","S233275","S233276","S233277","S233278","S233279","S233280","S233281","S233282","S233283","S233284","S233285","S233286","S233287","S233288","S233289","S233290","S233291","S233292","S233293","S233294","S233295","S233296","S233297","S233298","S233299","S233300","S233301"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,2.5,7.5,12.5,17.5,22.5,27.5,32.5,37.5,42.5,47.5,52.5,57.5,62.5,67.5,72.5,77.5,82.5,87.5,92.5,97.5,105.5,110.5,115.5,120.5,125.5,130.5,135.5,140.5,145.5,150.5,155.5,160.5,165.5,170.5,175.5,180.5,185.5,190.5,195.5,200.5,205.5,210.5,215.5,220.5,225.5,230.5,235.5,240.5,245.5,250.5,255.5,260.5,265.5,270.5,275.5,280.5,285.5,290.5,295.5,300.5,305.5,310.5,315.5,320.5,325.5,330.5,335.5,340.5,345.5,350.5,355.5,360.5,365.5,370.5,375.5,380.5,387.5,392.5,397.5,402.5,407.5,412.5,417.5,422.5,427.5,432.5,437.5,442.5,447.5,452.5,457.5,462.5,467.5,472.5,477.5,482.5
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,233206,233207,233208,233209,233210,233211,233212,233213,233214,233215,233216,233217,233218,233219,233220,233221,233222,233223,233224,233225,233226,233227,233228,233229,233230,233231,233232,233233,233234,233235,233236,233237,233238,233239,233240,233241,233242,233243,233244,233245,233246,233247,233248,233249,233250,233251,233252,233253,233254,233255,233256,233257,233258,233259,233260,233261,233262,233263,233264,233265,233266,233267,233268,233269,233270,233271,233272,233273,233274,233275,233276,233277,233278,233279,233280,233281,233282,233283,233284,233285,233286,233287,233288,233289,233290,233291,233292,233293,233294,233295,233296,233297,233298,233299,233300,233301
Fossilva,Radiocarbon years BP,,,,--/-66/--,--/-25/--,--/18/--,--/62/--,--/107/--,--/154/--,--/202/--,--/252/--,--/303/--,--/355/--,--/409/--,--/464/--,--/521/--,--/579/--,--/638/--,--/699/--,--/761/--,--/825/--,--/890/--,--/956/--,--/1066/--,--/1136/--,--/1207/--,--/1280/--,--/1354/--,--/1430/--,--/1507/--,--/1585/--,--/1665/--,--/1746/--,--/1829/--,--/1913/--,--/1999/--,--/2085/--,--/2174/--,--/2263/--,--/2354/--,--/2447/--,--/2541/--,--/2636/--,--/2733/--,--/2831/--,--/2930/--,--/3031/--,--/3133/--,--/3237/--,--/3342/--,--/3448/--,--/3556/--,--/3665/--,--/3776/--,--/3888/--,--/4001/--,--/4116/--,--/4233/--,--/4350/--,--/4469/--,--/4590/--,--/4712/--,--/4835/--,--/4959/--,--/5085/--,--/5213/--,--/5342/--,--/5472/--,--/5604/--,--/5737/--,--/5871/--,--/6007/--,--/6144/--,--/6283/--,--/6423/--,--/6564/--,--/6707/--,--/6851/--,--/6997/--,--/7203/--,--/7352/--,--/7503/--,--/7655/--,--/7808/--,--/7962/--,--/8118/--,--/8276/--,--/8435/--,--/8595/--,--/8756/--,--/8919/--,--/9084/--,--/9250/--,--/9417/--,--/9585/--,--/9755/--,--/9927/--,--/10100/--,--/10274/--
Giesecke et al. 2014 (MADCAP),Calibrated radiocarbon years BP,,,,366/150/-29,390/174/-7,417/198/14,446/221/33,473/245/49,502/270/65,531/295/80,561/320/94,592/346/109,625/373/124,658/400/140,694/428/158,732/457/177,770/488/197,810/519/219,849/551/241,890/584/266,931/619/292,973/655/319,1016/693/348,1087/757/398,1133/798/432,1181/842/467,1232/887/506,1283/934/544,1338/984/587,1393/1035/629,1452/1088/675,1512/1144/721,1577/1202/772,1645/1263/825,1717/1327/881,1793/1393/942,1878/1463/1009,1965/1536/1078,2055/1611/1151,2148/1691/1227,2245/1774/1307,2344/1860/1390,2448/1950/1480,2554/2045/1572,2664/2143/1668,2779/2246/1769,2897/2352/1873,3019/2464/1981,3144/2580/2090,3272/2701/2203,3404/2826/2320,3541/2957/2441,3683/3093/2569,3829/3234/2701,3979/3381/2840,4132/3533/2984,4290/3690/3137,4451/3852/3296,4612/4019/3457,4774/4190/3623,4935/4364/3792,5100/4543/3968,5268/4724/4151,5442/4908/4340,5619/5095/4533,5799/5285/4730,5980/5476/4929,6160/5668/5128,6342/5862/5330,6526/6057/5533,6710/6253/5739,6895/6449/5946,7081/6646/6155,7268/6843/6365,7455/7041/6576,7642/7239/6790,7827/7437/7002,8011/7634/7215,8196/7832/7429,8455/8108/7731,8640/8304/7948,8820/8500/8159,9001/8695/8368,9184/8889/8574,9369/9082/8779,9556/9274/8979,9745/9464/9173,9938/9653/9364,10139/9842/9557,10339/10029/9743,10539/10215/9923,10742/10401/10104,10948/10587/10282,11157/10773/10458,11363/10958/10624,11569/11144/10783,11779/11330/10941,11993/11515/11100,12209/11701/11257
Acer,TRSH,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,,,,2,,,2,,1,1,1,,,2,1,,,,,,,1,,,1,,1,,1,,,1,1,2,3,3,1,3,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus,TRSH,pollen,NISP,,52,49,51,53,56,92,51,33,41,45,52,57,48,50,37,45,43,48,69,80,102,102,132,162,194,143,102,111,196,187,126,165,130,175,155,160,159,184,220,225,157,276,143,164,226,201,117,162,139,134,110,209,256,257,253,291,267,268,277,255,275,216,303,213,296,275,282,253,194,252,229,278,272,237,273,239,225,184,243,211,273,271,177,16,11,2,,,,,1,,1,2,2,1
Amaranthaceae,UPHE,pollen,NISP,,7,6,6,8,7,8,7,7,5,4,3,3,,,,5,2,1,3,,3,1,7,3,2,1,3,2,,3,2,2,2,,2,3,3,3,2,2,3,6,1,,,2,1,3,4,4,1,1,,,,1,1,,1,,2,,,,,,,,,,,,,,,1,,,,,,2,,1,,1,,,1,1,1,2,2,4,3,2
