Column1;Column2;Column3;Column4;Column5;Column9;Column17;Column18;Column31;Column36;Column37;Column46;Column48;Column57;Column63;Column66;Column73;Column78;Column80;Column87;Column89;Column93;Column95;Column98
name;group;element;units;context;S233209;S233217;S233218;S233231;S233236;S233237;S233246;S233248;S233257;S233263;S233266;S233273;S233278;S233280;S233287;S233289;S233293;S233295;S233298
AnalysisUnitName;;;;;;;;;;;;;;;;;;;;;;;
Depth;;;;;17.5;57.5;62.5;130.5;155.5;160.5;205.5;215.5;260.5;290.5;305.5;340.5;365.5;375.5;412.5;422.5;442.5;452.5;467.5
Thickness;;;;;;;;;;;;;;;;;;;;;;;
Sample Name;;;;;;;;;;;;;;;;;;;;;;;
Sample ID;;;;;233209;233217;233218;233231;233236;233237;233246;233248;233257;233263;233266;233273;233278;233280;233287;233289;233293;233295;233298
Fossilva;Radiocarbon years BP;;;;--/62/--;--/464/--;--/521/--;--/1430/--;--/1829/--;--/1913/--;--/2733/--;--/2930/--;--/3888/--;--/4590/--;--/4959/--;--/5871/--;--/6564/--;--/6851/--;--/7962/--;--/8276/--;--/8919/--;--/9250/--;--/9755/--
Giesecke et al. 2014 (MADCAP);Calibrated radiocarbon years BP;;;;446/221/33;694/428/158;732/457/177;1338/984/587;1645/1263/825;1717/1327/881;2554/2045/1572;2779/2246/1769;3979/3381/2840;4935/4364/3792;5442/4908/4340;6710/6253/5739;7642/7239/6790;8011/7634/7215;9369/9082/8779;9745/9464/9173;10539/10215/9923;10948/10587/10282;11569/11144/10783
Acer;TRSH;pollen;NISP;;;;;2;;;1;;1;2;;;;;;;;;
Alnus;TRSH;pollen;NISP;;53;57;48;143;126;165;157;143;209;268;275;253;272;273;271;16;;;1
Amaranthaceae;UPHE;pollen;NISP;;8;3;;1;2;2;3;1;1;;2;;;;2;1;;1;2
Angelica archangelica-type;UPHE;pollen;NISP;;;;;1;;;;;1;;;;;;;;;;
Anthemis-type;UPHE;pollen;NISP;;;;;;;;;;;;;;;;;;;;
Anthriscus sylvestris-type;UPHE;pollen;NISP;;;;;;1;;;;;;;;;;;;;;
Apiaceae;UPHE;pollen;NISP;;2;;1;;;;2;;;2;;;;;;;;;1
Artemisia;UPHE;pollen;NISP;;3;7;3;8;11;8;9;16;15;12;;1;2;1;1;;;2;5
Aster-type;UPHE;pollen;NISP;;;;;;3;1;1;;1;;1;;;1;1;;;;3
Asteroideae;UPHE;pollen;NISP;;;;;;;;;;;;;;;;;;;;
Betula;TRSH;pollen;NISP;;55;39;35;124;84;82;100;105;153;77;51;58;54;102;108;129;138;314;281
Betula cf. B. nana;TRSH;pollen;NISP;;;;;;;;;;;;;;4;1;3;10;3;26;54
Brassicaceae;UPHE;pollen;NISP;;14;3;3;;1;;;1;1;;;;;;;;;;
Callitriche;AQVP;pollen;NISP;;;;;;;;;;;;;;;;;;2;;
Calluna vulgaris;TRSH;pollen;NISP;;2;4;3;2;4;7;5;6;4;1;;4;;3;;;;;
Campanula-type;UPHE;pollen;NISP;;;;;;;;;;;;;;;;;;;;
Carpinus;TRSH;pollen;NISP;;6;4;4;13;20;22;5;10;6;2;;;;;;;;;
Centaurea cyanus;UPHE;pollen;NISP;;;1;1;;;;;;;;;;;;;;;;
Centaurea nigra-type;UPHE;pollen;NISP;;;;;;;;1;;1;;;;;;;;;;
Cerastium-type;UPHE;pollen;NISP;;;;;;;;;;1;;;;;;;;;;
Cichorioideae;UPHE;pollen;NISP;;4;1;3;2;;3;2;4;;;;;;;;;;;
Cirsium;UPHE;pollen;NISP;;;2;;;;;;;;;;;;;;;;;
Cladium mariscus;AQVP;pollen;NISP;;;;;1;;;1;1;;;;1;;;2;;1;;
Cornus sanguinea;TRSH;pollen;NISP;;;;;;;;;;;;;;;;1;;;;
Corylus;TRSH;pollen;NISP;;12;17;21;92;125;134;121;119;183;334;225;173;382;291;667;613;412;226;1
Cotoneaster-type;TRSH;pollen;NISP;;;;;;;;;;;;;;;;;;;;
