"name","group","element","units","context","S411046","S411047","S411048","S411049","S411050","S411051","S411052","S411053","S411054","S411055","S411056","S411057","S411058","S411059","S411060","S411061","S411062","S411063","S411064","S411065","S411066","S411067","S411068","S411069","S411070","S411071","S411072","S411073","S411074","S411075","S411076","S411077","S411078","S411079","S411080","S411081","S411082","S411083","S411084","S411085","S411086","S411087","S411088","S411089","S411090","S411091","S411092","S411093","S411094","S411095","S411096","S411097","S411098","S411099","S411100","S411101","S411102","S411103","S411104","S411105","S411106","S411107","S411108","S411109","S411110","S411111","S411112","S411113","S411114","S411115","S411116","S411117","S411118","S411119","S411120","S411121","S411122","S411123","S411124","S411125","S411126","S411127","S411128","S411129","S411130","S411131","S411132","S411133","S411134","S411135","S411136","S411137","S411138","S411139","S411140","S411141","S411142","S411143","S411144","S411145","S411146","S411147","S411148","S411149","S411150","S411151","S411152","S411153","S411154","S411155"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,0,13,23,33,43,53,63,73,83,93,103,113,123,133,143,153,163,173,183,193,203,213,223,233,243,253,263,273,280,290,300,310,320,330,340,350,360,365,375,385,395,405,415,425,435,445,455,465,475,485,495,500,505,515,520,525,535,540,545,555,560,565,575,580,585,595,600,605,615,620,625,635,640,645,655,660,665,670,675,680,685,690,695,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,900,950,1000,1050,1100,1150,1200,1240
Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,411046,411047,411048,411049,411050,411051,411052,411053,411054,411055,411056,411057,411058,411059,411060,411061,411062,411063,411064,411065,411066,411067,411068,411069,411070,411071,411072,411073,411074,411075,411076,411077,411078,411079,411080,411081,411082,411083,411084,411085,411086,411087,411088,411089,411090,411091,411092,411093,411094,411095,411096,411097,411098,411099,411100,411101,411102,411103,411104,411105,411106,411107,411108,411109,411110,411111,411112,411113,411114,411115,411116,411117,411118,411119,411120,411121,411122,411123,411124,411125,411126,411127,411128,411129,411130,411131,411132,411133,411134,411135,411136,411137,411138,411139,411140,411141,411142,411143,411144,411145,411146,411147,411148,411149,411150,411151,411152,411153,411154,411155
Giesecke et al. 2014 (MADCAP),Calibrated radiocarbon years BP,,,,37/-38/-82,137/44/-9,219/107/43,304/170/91,394/234/142,480/297/187,560/362/231,643/426/280,727/492/331,814/558/383,900/625/435,986/692/488,1074/761/544,1161/830/599,1249/901/656,1336/972/714,1423/1045/775,1510/1120/837,1598/1195/902,1687/1272/969,1777/1351/1038,1867/1431/1108,1957/1512/1179,2046/1594/1251,2135/1678/1323,2225/1762/1398,2314/1848/1474,2404/1935/1552,2467/1996/1607,2559/2085/1688,2650/2175/1769,2742/2265/1852,2833/2357/1933,2925/2449/2017,3016/2542/2100,3106/2635/2184,3196/2730/2267,3242/2777/2310,3333/2873/2395,3425/2969/2481,3518/3065/2568,3614/3162/2658,3711/3260/2750,3808/3357/2843,3906/3456/2939,4003/3554/3033,4100/3653/3129,4197/3752/3224,4293/3851/3319,4390/3951/3416,4488/4050/3513,4536/4100/3561,4585/4150/3610,4683/4249/3708,4731/4299/3757,4781/4349/3807,4877/4448/3905,4926/4498/3955,4974/4547/4003,5072/4646/4103,5120/4696/4152,5169/4745/4202,5265/4844/4300,5313/4893/4349,5362/4942/4399,5458/5040/4497,5506/5089/4546,5554/5138/4596,5650/5235/4695,5698/5283/4744,5746/5331/4794,5842/5428/4893,5888/5475/4941,5935/5523/4990,6029/5618/5086,6076/5665/5134,6123/5712/5181,6169/5759/5228,6215/5806/5274,6261/5852/5321,6307/5899/5367,6354/5945/5413,6400/5991/5459,6446/6037/5504,6539/6128/5596,6630/6218/5685,6724/6308/5776,6816/6397/5865,6908/6486/5955,7001/6574/6045,7091/6662/6134,7182/6749/6223,7272/6836/6312,7359/6923/6399,7447/7010/6487,7533/7096/6574,7620/7182/6663,7705/7268/6750,7788/7353/6837,7872/7439/6925,7956/7524/7014,8039/7610/7103,8208/7781/7284,8642/8212/7764,9067/8651/8251,9508/9103/8768,9945/9573/9259,10433/10065/9720,10954/10570/10149,11424/10974/10473
Fossilva,Radiocarbon years BP,,,,--/0/--,--/99/--,--/176/--,--/252/--,--/328/--,--/405/--,--/481/--,--/558/--,--/634/--,--/710/--,--/787/--,--/863/--,--/940/--,--/1016/--,--/1092/--,--/1169/--,--/1245/--,--/1321/--,--/1398/--,--/1474/--,--/1551/--,--/1627/--,--/1703/--,--/1780/--,--/1856/--,--/1932/--,--/2009/--,--/2085/--,--/2139/--,--/2215/--,--/2291/--,--/2368/--,--/2444/--,--/2521/--,--/2597/--,--/2673/--,--/2750/--,--/2788/--,--/2864/--,--/2941/--,--/3017/--,--/3094/--,--/3170/--,--/3246/--,--/3323/--,--/3399/--,--/3475/--,--/3552/--,--/3628/--,--/3705/--,--/3781/--,--/3819/--,--/3857/--,--/3934/--,--/3972/--,--/4010/--,--/4086/--,--/4125/--,--/4163/--,--/4239/--,--/4277/--,--/4316/--,--/4392/--,--/4430/--,--/4468/--,--/4545/--,--/4583/--,--/4621/--,--/4698/--,--/4736/--,--/4774/--,--/4850/--,--/4889/--,--/4927/--,--/5003/--,--/5041/--,--/5079/--,--/5118/--,--/5156/--,--/5194/--,--/5232/--,--/5270/--,--/5309/--,--/5347/--,--/5423/--,--/5500/--,--/5576/--,--/5652/--,--/5729/--,--/5805/--,--/5881/--,--/5958/--,--/6034/--,--/6111/--,--/6187/--,--/6263/--,--/6340/--,--/6416/--,--/6493/--,--/6569/--,--/6645/--,--/6722/--,--/6874/--,--/7256/--,--/7638/--,--/8020/--,--/8402/--,--/8784/--,--/9166/--,--/9471/--
Acer,TRSH,pollen,NISP,,1,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,1,,,1,1,,,,,1,,1,,,2,3,,1,2,1,2,,3,1,1,1,1,1,2,1,3,3,1,1,1,1,2,1,1,1,1,,,,,1,,2,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus,TRSH,pollen,NISP,,124,111,121,106,102,109,105,109,84,107,142,140,138,137,174,168,215,164,194,307,227,215,240,222,241,236,280,255,217,254,327,220,228,182,207,370,210,241,242,217,292,226,233,289,264,304,303,292,297,280,205,371,254,251,258,283,288,326,286,287,395,260,271,307,309,294,270,279,297,295,333,300,356,306,288,347,331,273,308,266,233,255,222,224,281,290,234,270,310,277,198,281,280,246,227,325,252,237,85,199,228,242,73,87,84,83,50,1,,3
Amaranthaceae,UPHE,pollen,NISP,,9,13,20,22,5,7,,5,2,1,2,2,1,2,3,8,4,,2,1,,3,1,,4,4,3,2,2,2,2,2,2,2,2,2,4,3,5,2,1,1,,1,,,1,1,,2,1,3,1,1,1,1,,,,,,2,2,,,1,1,,1,,,,,2,,1,,,1,,1,,,1,1,,1,,,,,,,1,,,2,,,,,1,,,1,,,,,2
