Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column10;Column15;Column18;Column25;Column26;Column27;Column32;Column33;Column35;Column38;Column42;Column52;Column54;Column57;Column59;Column77;Column79;Column83;Column96;Column103;Column104
name;group;element;units;context;S411046;S411047;S411050;S411055;S411058;S411065;S411066;S411067;S411072;S411073;S411075;S411078;S411082;S411092;S411094;S411097;S411099;S411117;S411119;S411123;S411136;S411143;S411144
AnalysisUnitName;;;;;;;;;;;;;;;;;;;;;;;;;;;
Depth;;;;;0;13;43;93;123;193;203;213;263;273;290;320;360;455;475;500;515;635;645;670;770;840;850
Thickness;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sample Name;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sample ID;;;;;411046;411047;411050;411055;411058;411065;411066;411067;411072;411073;411075;411078;411082;411092;411094;411097;411099;411117;411119;411123;411136;411143;411144
Giesecke et al. 2014 (MADCAP);Calibrated radiocarbon years BP;;;;37/-38/-82;137/44/-9;394/234/142;814/558/383;1074/761/544;1687/1272/969;1777/1351/1038;1867/1431/1108;2314/1848/1474;2404/1935/1552;2559/2085/1688;2833/2357/1933;3196/2730/2267;4100/3653/3129;4293/3851/3319;4536/4100/3561;4683/4249/3708;5842/5428/4893;5935/5523/4990;6169/5759/5228;7091/6662/6134;7705/7268/6750;7788/7353/6837
Fossilva;Radiocarbon years BP;;;;--/0/--;--/99/--;--/328/--;--/710/--;--/940/--;--/1474/--;--/1551/--;--/1627/--;--/2009/--;--/2085/--;--/2215/--;--/2444/--;--/2750/--;--/3475/--;--/3628/--;--/3819/--;--/3934/--;--/4850/--;--/4927/--;--/5118/--;--/5881/--;--/6416/--;--/6493/--
Acer;TRSH;pollen;NISP;;1;;;;;;;;;1;;;1;1;;1;1;;;2;;;
Alnus;TRSH;pollen;NISP;;124;111;102;107;138;307;227;215;280;255;254;228;210;303;297;371;251;300;306;273;198;237;85
Amaranthaceae;UPHE;pollen;NISP;;9;13;5;1;1;1;;3;3;2;2;2;4;1;;3;1;;2;;;;
